source,target,order,distance_km,shared_period
Doornzele Abbey,"Le Verger (Oisy-le-Verger, Pas-de-Calais)",Cistercian,103.9,1227-1790
Doornzele Abbey,Douai Abbey,Cistercian,93.2,1227-1790
Doornzele Abbey,Notre-Dame-des-Pres,Cistercian,93.2,1231-1790
Doornzele Abbey,Marquette-lez-Lille Abbey (Nord),Cistercian,65.9,1227-1790
Doornzele Abbey,Notre-Dames-des-Fonts,Cistercian,59.3,1227-1790
Doornzele Abbey,Fonts-les-Alais Abbey,Cistercian,59.3,1227-1790
Doornzele Abbey,Biaches,Cistercian,143.3,1235-1790
Doornzele Abbey,Monchy-le-Perreux,Cistercian,109.5,1238-1790
Doornzele Abbey,"Brayelle-les-Annay, la",Cistercian,92.2,1227-1791
Doornzele Abbey,"Le Vivier (Wancourt, Pas-de-Calais)",Cistercian,112.4,1228-1790
Doornzele Abbey,Abbaye Notre-Dame de Beaupré-sur-la-Lys,Cistercian,87.1,1227-1790
Doornzele Abbey,Oost-Eeklo,Cistercian,14.2,1228-1796
Doornzele Abbey,"Bethléem (Damme, Belgium)",Cistercian,33.5,1230-1796
Doornzele Abbey,Woestine,Cistercian,102.7,1227-1790
Doornzele Abbey,Clairmarais,Cistercian,105.3,1227-1790
Doornzele Abbey,Blandeques,Cistercian,109.4,1227-1790
Doornzele Abbey,Abbaye de Ravensberghe,Cistercian,109.1,1227-1790
Doornzele Abbey,Bonham,Cistercian,112.3,1227-1790
Doornzele Abbey,Willencourt,Cistercian,149.4,1227-1790
Doornzele Abbey,Bouhan,Cistercian,130.7,1227-1395
Dorisel,Notre-Dame-de-Nazareth,Cistercian,60.2,1230-1796
Dorisel,Fontenelles Abbey,Cistercian,90.3,1227-1790
Dorisel,Fervacques Abbey,Cistercian,135.9,1227-1790
Dorisel,Spermalie,Cistercian,35.5,1227-1796
Dorisel,Flines-l’Abbaye,Cistercian,84.3,1233-1790
Dorisel,"Le Verger (Oisy-le-Verger, Pas-de-Calais)",Cistercian,103.9,1227-1790
Dorisel,Douai Abbey,Cistercian,93.2,1227-1790
Dorisel,Notre-Dame-des-Pres,Cistercian,93.2,1231-1790
Dorisel,Marquette-lez-Lille Abbey (Nord),Cistercian,65.9,1227-1790
Dorisel,Notre-Dames-des-Fonts,Cistercian,59.3,1227-1790
Dorisel,Fonts-les-Alais Abbey,Cistercian,59.3,1227-1790
Dorisel,Biaches,Cistercian,143.3,1235-1790
Dorisel,Monchy-le-Perreux,Cistercian,109.5,1238-1790
Dorisel,"Brayelle-les-Annay, la",Cistercian,92.2,1227-1791
Dorisel,"Le Vivier (Wancourt, Pas-de-Calais)",Cistercian,112.4,1228-1790
Dorisel,Abbaye Notre-Dame de Beaupré-sur-la-Lys,Cistercian,87.1,1227-1790
Dorisel,Oost-Eeklo,Cistercian,14.2,1228-1796
Dorisel,"Bethléem (Damme, Belgium)",Cistercian,33.5,1230-1796
Dorisel,Woestine,Cistercian,102.7,1227-1790
Dorisel,Clairmarais,Cistercian,105.3,1227-1790
Dorisel,Blandeques,Cistercian,109.4,1227-1790
Dorisel,Abbaye de Ravensberghe,Cistercian,109.1,1227-1790
Dorisel,Bonham,Cistercian,112.3,1227-1790
Dorisel,Willencourt,Cistercian,149.4,1227-1790
Dorisel,Bouhan,Cistercian,130.7,1227-1395
Quesnoy,Waasmunster,Augustinian,100.8,1238-1790
Quesnoy,"Beaurepaire (Somain, Nord, France)",Augustinian,28.1,1233-1790
Quesnoy,Premy,Augustinian,29.8,1233-1790
Quesnoy,Beaulieu-les-Sin-le-Noble,Augustinian,39.3,1233-1790
Quesnoy,Fatres et sorores de sacco,Augustinian,41.9,1270-1280
Quesnoy,Antwerp (Soeurs Blanches),Augustinian,120.7,1480-1790
Quesnoy,Antwerp,Augustinian,120.7,1279-1790
Quesnoy,Couvent des Falcontines (Mariëndal),Augustinian,120.7,1354-1790
Quesnoy,Arras ,Augustinian,61.1,1250-1280
Quesnoy,"Macquincourt Priory (Gouy-en-Artois, Pas-de-Calais)",Augustinian,74.1,1233-1790
Quesnoy,Notre-Dame de la Presentation,Augustinian,140.2,1493-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Montreuil-les-Dames,Cistercian,0.0,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",la Grâce Abbey (Montmirail),Cistercian,77.2,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Fontenelles Abbey,Cistercian,83.5,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Belleau,Cistercian,89.1,1242-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Fervacques Abbey,Cistercian,41.0,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Mont-Notre-Dame-les-Provins,Cistercian,114.2,1236-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Cour-Notre-Dame-les-Gouvernay,Cistercian,145.3,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Flines-l’Abbaye,Cistercian,101.0,1233-1790
"Le Savoir-sous-Laon (Laon, Aisne)","Beaupré (Beaumont-en-Bière, France)",Cistercian,38.0,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)","Le Verger (Oisy-le-Verger, Pas-de-Calais)",Cistercian,84.4,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Douai Abbey,Cistercian,97.9,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Notre-Dame-des-Pres,Cistercian,97.9,1231-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Marquette-lez-Lille Abbey (Nord),Cistercian,129.9,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",la Joie-Ste Clare (Berneuil-sur-Aisne),Cistercian,47.7,1240-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Abbaye-aux-Bois,Cistercian,53.0,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Biaches,Cistercian,65.2,1235-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Monchy-le-Perreux,Cistercian,94.4,1238-1790
"Le Savoir-sous-Laon (Laon, Aisne)","Brayelle-les-Annay, la",Cistercian,113.3,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)","Le Vivier (Wancourt, Pas-de-Calais)",Cistercian,93.3,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Pont-aux-Dames,Cistercian,93.8,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)","Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",Cistercian,70.4,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Abbaye Notre-Dame de Beaupré-sur-la-Lys,Cistercian,136.0,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Notre Dame du Lys,Cistercian,133.8,1244-1790
"Le Savoir-sous-Laon (Laon, Aisne)","Le Lys (Dammarie-lès-Lys, Seine-et-Marne)",Cistercian,137.0,1244-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Paraclet-des-Champs,Cistercian,94.0,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)","Clairets, les",Cistercian,121.3,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Paris (S. Antoine-des-Champs),Cistercian,121.3,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Maubisson,Cistercian,124.0,1241-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Willencourt,Cistercian,133.2,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Beauvais,Cistercian,111.9,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Épagne-Épagnette Abbey,Cistercian,137.8,1228-1790
"Le Savoir-sous-Laon (Laon, Aisne)",Gomerfontaine Abbey,Cistercian,133.1,1228-1790
Montreuil-les-Dames,la Grâce Abbey (Montmirail),Cistercian,77.2,1223-1790
Montreuil-les-Dames,Fontenelles Abbey,Cistercian,83.5,1216-1790
Montreuil-les-Dames,Belleau,Cistercian,89.1,1242-1790
Montreuil-les-Dames,Fervacques Abbey,Cistercian,41.0,1140-1790
Montreuil-les-Dames,Mont-Notre-Dame-les-Provins,Cistercian,114.2,1236-1790
Montreuil-les-Dames,Cour-Notre-Dame-les-Gouvernay,Cistercian,145.3,1225-1790
Montreuil-les-Dames,Flines-l’Abbaye,Cistercian,101.0,1233-1790
Montreuil-les-Dames,"Beaupré (Beaumont-en-Bière, France)",Cistercian,38.0,1228-1790
Montreuil-les-Dames,"Le Verger (Oisy-le-Verger, Pas-de-Calais)",Cistercian,84.4,1225-1790
Montreuil-les-Dames,Douai Abbey,Cistercian,97.9,1216-1790
Montreuil-les-Dames,Notre-Dame-des-Pres,Cistercian,97.9,1231-1790
Montreuil-les-Dames,Marquette-lez-Lille Abbey (Nord),Cistercian,129.9,1226-1790
Montreuil-les-Dames,la Joie-Ste Clare (Berneuil-sur-Aisne),Cistercian,47.7,1240-1790
Montreuil-les-Dames,Abbaye-aux-Bois,Cistercian,53.0,1202-1790
Montreuil-les-Dames,Biaches,Cistercian,65.2,1235-1790
Montreuil-les-Dames,Monchy-le-Perreux,Cistercian,94.4,1238-1790
Montreuil-les-Dames,"Brayelle-les-Annay, la",Cistercian,113.3,1196-1790
Montreuil-les-Dames,"Le Vivier (Wancourt, Pas-de-Calais)",Cistercian,93.3,1228-1790
Montreuil-les-Dames,Pont-aux-Dames,Cistercian,93.8,1226-1790
Montreuil-les-Dames,"Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",Cistercian,70.4,1205-1790
Montreuil-les-Dames,Abbaye Notre-Dame de Beaupré-sur-la-Lys,Cistercian,136.0,1204-1790
Montreuil-les-Dames,Notre Dame du Lys,Cistercian,133.8,1244-1790
Montreuil-les-Dames,"Le Lys (Dammarie-lès-Lys, Seine-et-Marne)",Cistercian,137.0,1244-1790
Montreuil-les-Dames,Paraclet-des-Champs,Cistercian,94.0,1219-1790
Montreuil-les-Dames,"Clairets, les",Cistercian,121.3,1204-1790
Montreuil-les-Dames,Paris (S. Antoine-des-Champs),Cistercian,121.3,1198-1790
Montreuil-les-Dames,Maubisson,Cistercian,124.0,1241-1790
Montreuil-les-Dames,Willencourt,Cistercian,133.2,1199-1790
Montreuil-les-Dames,Beauvais,Cistercian,111.9,1217-1790
Montreuil-les-Dames,Épagne-Épagnette Abbey,Cistercian,137.8,1178-1790
Montreuil-les-Dames,Gomerfontaine Abbey,Cistercian,133.1,1207-1790
Netlieu,Nonenque,Cistercian,67.8,1195-1402
Netlieu,"Les Ollieux (Montséret, Aude)",Cistercian,73.7,1200-1402
Netlieu,Abbey of l’Êule (Le Soler),Cistercian,105.9,1195-1402
Netlieu,Mirepoix,Cistercian,145.2,1330-1402
Netlieu,"Beaulieu (Mirepoix, Ariège, France)",Cistercian,145.2,1298-1402
la Grâce Abbey (Montmirail),Belleau,Cistercian,12.9,1242-1790
la Grâce Abbey (Montmirail),Fervacques Abbey,Cistercian,115.2,1223-1790
la Grâce Abbey (Montmirail),Mont-Notre-Dame-les-Provins,Cistercian,38.9,1236-1790
la Grâce Abbey (Montmirail),Cour-Notre-Dame-les-Gouvernay,Cistercian,69.6,1225-1790
la Grâce Abbey (Montmirail),"Beaupré (Beaumont-en-Bière, France)",Cistercian,95.5,1228-1790
la Grâce Abbey (Montmirail),la Joie-Ste Clare (Berneuil-sur-Aisne),Cistercian,72.0,1240-1790
la Grâce Abbey (Montmirail),Abbaye-aux-Bois,Cistercian,102.0,1223-1790
la Grâce Abbey (Montmirail),Biaches,Cistercian,125.8,1235-1790
la Grâce Abbey (Montmirail),Pont-aux-Dames,Cistercian,50.0,1226-1790
la Grâce Abbey (Montmirail),"Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",Cistercian,65.9,1223-1790
la Grâce Abbey (Montmirail),la Joie Abbey (St-Pierre-les-Nemours),Cistercian,92.4,1230-1790
la Grâce Abbey (Montmirail),Notre Dame du Lys,Cistercian,74.4,1244-1790
la Grâce Abbey (Montmirail),"Le Lys (Dammarie-lès-Lys, Seine-et-Marne)",Cistercian,77.4,1244-1790
la Grâce Abbey (Montmirail),Boulancourt,Cistercian,105.9,1223-1790
la Grâce Abbey (Montmirail),Paraclet-des-Champs,Cistercian,136.7,1223-1790
la Grâce Abbey (Montmirail),"Clairets, les",Cistercian,86.9,1223-1790
la Grâce Abbey (Montmirail),Paris (S. Antoine-des-Champs),Cistercian,86.9,1223-1790
la Grâce Abbey (Montmirail),Villiers-aux-Nonnains,Cistercian,99.2,1223-1790
la Grâce Abbey (Montmirail),Maubisson,Cistercian,106.2,1241-1790
la Grâce Abbey (Montmirail),Beauvais,Cistercian,122.8,1223-1790
la Grâce Abbey (Montmirail),Gomerfontaine Abbey,Cistercian,132.8,1223-1790
la Grâce Abbey (Montmirail),"Le Trésor (Bus-Saint-Rémy, Somme)",Cistercian,143.3,1228-1790
Waasmunster,Notre-Dame de Jerusalem,Augustinian,115.6,1480-1796
Waasmunster,"Beaurepaire (Somain, Nord, France)",Augustinian,101.0,1238-1790
Waasmunster,Premy,Augustinian,119.9,1238-1790
Waasmunster,Beaulieu-les-Sin-le-Noble,Augustinian,107.5,1238-1790
Waasmunster,Fatres et sorores de sacco,Augustinian,108.4,1270-1280
Waasmunster,Antwerp (Soeurs Blanches),Augustinian,25.2,1480-1796
Waasmunster,Antwerp,Augustinian,25.2,1279-1796
Waasmunster,Couvent des Falcontines (Mariëndal),Augustinian,25.2,1354-1796
Waasmunster,Arras ,Augustinian,129.5,1250-1280
Waasmunster,"Macquincourt Priory (Gouy-en-Artois, Pas-de-Calais)",Augustinian,142.2,1238-1790
Waasmunster,Notre-Dame de la Presentation,Augustinian,50.0,1493-1796
Abbaye Saint-Jean-Baptiste de Valenciennes,Denain,Benedictine,9.7,764-900
Abbaye Saint-Jean-Baptiste de Valenciennes,Hasnon,Benedictine,12.0,690-900
Abbaye Saint-Jean-Baptiste de Valenciennes,Hamage-les-Marchiennes,Benedictine,15.5,662-800
Abbaye Saint-Jean-Baptiste de Valenciennes,Ghistelles/Gistel,Benedictine,97.0,1100-1794
Abbaye Saint-Jean-Baptiste de Valenciennes,Marchiennes,Benedictine,18.0,662-1028
Abbaye Saint-Jean-Baptiste de Valenciennes,Stocquoy,Benedictine,28.8,1129-1299
Abbaye Saint-Jean-Baptiste de Valenciennes,Odeghem,Benedictine,96.9,1110-1794
Abbaye Saint-Jean-Baptiste de Valenciennes,Rouez,Benedictine,81.1,1122-1200
Abbaye Saint-Jean-Baptiste de Valenciennes,Gerigny Priory,Benedictine,53.8,1122-1790
Abbaye Saint-Jean-Baptiste de Valenciennes,Avesnes-les-Bapaume,Benedictine,56.1,1128-1790
Abbaye Saint-Jean-Baptiste de Valenciennes,Abbaye des Dames d'Étrun,Benedictine,58.6,1085-1792
Abbaye Saint-Jean-Baptiste de Valenciennes,Amiens,Benedictine,101.6,662-900
Abbaye Saint-Jean-Baptiste de Valenciennes,Bourbourg,Benedictine,114.1,1103-1790
Abbaye Saint-Jean-Baptiste de Valenciennes,Auchy,Benedictine,100.9,700-880
Abbaye Saint-Jean-Baptiste de Valenciennes,Guînes Abbey,Benedictine,129.7,1117-1794
Notre-Dame-de-Nazareth,Fontenelles Abbey,Cistercian,119.1,1230-1790
Notre-Dame-de-Nazareth,Spermalie,Cistercian,94.2,1230-1797
Notre-Dame-de-Nazareth,Flines-l’Abbaye,Cistercian,125.1,1233-1790
Notre-Dame-de-Nazareth,"Le Verger (Oisy-le-Verger, Pas-de-Calais)",Cistercian,141.3,1230-1790
Notre-Dame-de-Nazareth,Douai Abbey,Cistercian,134.7,1230-1790
Notre-Dame-de-Nazareth,Notre-Dame-des-Pres,Cistercian,134.7,1231-1790
Notre-Dame-de-Nazareth,Marquette-lez-Lille Abbey (Nord),Cistercian,117.0,1230-1790
Notre-Dame-de-Nazareth,Notre-Dames-des-Fonts,Cistercian,118.0,1230-1790
Notre-Dame-de-Nazareth,Fonts-les-Alais Abbey,Cistercian,118.0,1230-1790
Notre-Dame-de-Nazareth,"Brayelle-les-Annay, la",Cistercian,139.9,1230-1791
Notre-Dame-de-Nazareth,Abbaye Notre-Dame de Beaupré-sur-la-Lys,Cistercian,141.2,1230-1790
Notre-Dame-de-Nazareth,Oost-Eeklo,Cistercian,58.3,1230-1797
Notre-Dame-de-Nazareth,"Bethléem (Damme, Belgium)",Cistercian,90.6,1230-1796
Fontenelles Abbey,Fervacques Abbey,Cistercian,45.6,1216-1790
Fontenelles Abbey,Spermalie,Cistercian,101.8,1216-1790
Fontenelles Abbey,Flines-l’Abbaye,Cistercian,25.2,1233-1790
Fontenelles Abbey,"Beaupré (Beaumont-en-Bière, France)",Cistercian,73.6,1228-1790
Fontenelles Abbey,"Le Verger (Oisy-le-Verger, Pas-de-Calais)",Cistercian,26.5,1225-1790
Fontenelles Abbey,Douai Abbey,Cistercian,29.7,1216-1790
Fontenelles Abbey,Notre-Dame-des-Pres,Cistercian,29.7,1231-1790
Fontenelles Abbey,Marquette-lez-Lille Abbey (Nord),Cistercian,50.5,1226-1790
Fontenelles Abbey,la Joie-Ste Clare (Berneuil-sur-Aisne),Cistercian,105.2,1240-1790
Fontenelles Abbey,Notre-Dames-des-Fonts,Cistercian,78.2,1216-1790
Fontenelles Abbey,Fonts-les-Alais Abbey,Cistercian,78.2,1216-1790
Fontenelles Abbey,Abbaye-aux-Bois,Cistercian,79.8,1216-1790
Fontenelles Abbey,Biaches,Cistercian,59.3,1235-1790
Fontenelles Abbey,Monchy-le-Perreux,Cistercian,42.3,1238-1790
Fontenelles Abbey,"Brayelle-les-Annay, la",Cistercian,46.1,1216-1790
Fontenelles Abbey,"Le Vivier (Wancourt, Pas-de-Calais)",Cistercian,44.2,1228-1790
Fontenelles Abbey,"Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",Cistercian,130.6,1216-1790
Fontenelles Abbey,Abbaye Notre-Dame de Beaupré-sur-la-Lys,Cistercian,65.8,1216-1790
Fontenelles Abbey,Oost-Eeklo,Cistercian,104.5,1228-1790
Fontenelles Abbey,"Bethléem (Damme, Belgium)",Cistercian,105.6,1230-1790
Fontenelles Abbey,Paraclet-des-Champs,Cistercian,93.6,1219-1790
Fontenelles Abbey,Woestine,Cistercian,91.7,1217-1790
Fontenelles Abbey,Clairmarais,Cistercian,98.0,1222-1790
Fontenelles Abbey,Blandeques,Cistercian,96.8,1216-1790
Fontenelles Abbey,Abbaye de Ravensberghe,Cistercian,107.2,1216-1790
Fontenelles Abbey,Bonham,Cistercian,115.6,1223-1790
Fontenelles Abbey,Willencourt,Cistercian,99.6,1216-1790
Fontenelles Abbey,Beauvais,Cistercian,139.6,1217-1790
Fontenelles Abbey,Épagne-Épagnette Abbey,Cistercian,117.8,1216-1790
Fontenelles Abbey,Bouhan,Cistercian,135.1,1223-1395
Belleau,Fervacques Abbey,Cistercian,126.1,1242-1790
Belleau,Mont-Notre-Dame-les-Provins,Cistercian,26.1,1242-1790
Belleau,Cour-Notre-Dame-les-Gouvernay,Cistercian,56.9,1242-1790
Belleau,"Beaupré (Beaumont-en-Bière, France)",Cistercian,104.7,1242-1790
Belleau,la Joie-Ste Clare (Berneuil-sur-Aisne),Cistercian,79.0,1242-1790
Belleau,Abbaye-aux-Bois,Cistercian,109.9,1242-1790
Belleau,Biaches,Cistercian,134.4,1242-1790
Belleau,Pont-aux-Dames,Cistercian,45.6,1242-1790
Belleau,"Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",Cistercian,68.7,1242-1790
Belleau,la Joie Abbey (St-Pierre-les-Nemours),Cistercian,80.0,1242-1790
Belleau,Notre Dame du Lys,Cistercian,63.8,1244-1790
Belleau,"Le Lys (Dammarie-lès-Lys, Seine-et-Marne)",Cistercian,66.6,1244-1790
Belleau,Boulancourt,Cistercian,94.1,1242-1790
Belleau,Paraclet-des-Champs,Cistercian,142.4,1242-1790
Belleau,"Clairets, les",Cistercian,81.3,1242-1790
Belleau,Paris (S. Antoine-des-Champs),Cistercian,81.3,1242-1790
Belleau,Villiers-aux-Nonnains,Cistercian,89.0,1242-1790
Belleau,Maubisson,Cistercian,102.9,1242-1790
Belleau,Beauvais,Cistercian,124.0,1242-1790
Belleau,Gomerfontaine Abbey,Cistercian,131.7,1242-1790
Belleau,"Le Trésor (Bus-Saint-Rémy, Somme)",Cistercian,140.3,1242-1790
Belleau,Chartres,Cistercian,149.0,1242-1790
Fervacques Abbey,Mont-Notre-Dame-les-Provins,Cistercian,149.6,1236-1790
Fervacques Abbey,Spermalie,Cistercian,145.8,1200-1790
Fervacques Abbey,Flines-l’Abbaye,Cistercian,60.3,1233-1790
Fervacques Abbey,"Beaupré (Beaumont-en-Bière, France)",Cistercian,30.6,1228-1790
Fervacques Abbey,"Le Verger (Oisy-le-Verger, Pas-de-Calais)",Cistercian,43.4,1225-1790
Fervacques Abbey,Douai Abbey,Cistercian,56.9,1216-1790
Fervacques Abbey,Notre-Dame-des-Pres,Cistercian,56.9,1231-1790
Fervacques Abbey,Marquette-lez-Lille Abbey (Nord),Cistercian,89.2,1226-1790
Fervacques Abbey,la Joie-Ste Clare (Berneuil-sur-Aisne),Cistercian,61.2,1240-1790
Fervacques Abbey,Notre-Dames-des-Fonts,Cistercian,117.5,1140-1790
Fervacques Abbey,Fonts-les-Alais Abbey,Cistercian,117.5,1201-1790
Fervacques Abbey,Abbaye-aux-Bois,Cistercian,41.9,1202-1790
Fervacques Abbey,Biaches,Cistercian,35.2,1235-1790
Fervacques Abbey,Monchy-le-Perreux,Cistercian,54.5,1238-1790
Fervacques Abbey,"Brayelle-les-Annay, la",Cistercian,72.5,1196-1790
Fervacques Abbey,"Le Vivier (Wancourt, Pas-de-Calais)",Cistercian,53.8,1228-1790
Fervacques Abbey,Pont-aux-Dames,Cistercian,119.8,1226-1790
Fervacques Abbey,"Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",Cistercian,87.2,1205-1790
Fervacques Abbey,Abbaye Notre-Dame de Beaupré-sur-la-Lys,Cistercian,95.2,1204-1790
Fervacques Abbey,Paraclet-des-Champs,Cistercian,72.6,1219-1790
Fervacques Abbey,Woestine,Cistercian,117.5,1217-1790
Fervacques Abbey,"Clairets, les",Cistercian,138.8,1204-1790
Fervacques Abbey,Paris (S. Antoine-des-Champs),Cistercian,138.8,1198-1790
Fervacques Abbey,Clairmarais,Cistercian,123.9,1222-1790
Fervacques Abbey,Blandeques,Cistercian,120.7,1182-1790
Fervacques Abbey,Abbaye de Ravensberghe,Cistercian,133.4,1199-1790
Fervacques Abbey,Bonham,Cistercian,142.4,1223-1790
Fervacques Abbey,Maubisson,Cistercian,133.4,1241-1790
Fervacques Abbey,Willencourt,Cistercian,100.8,1199-1790
Fervacques Abbey,Beauvais,Cistercian,107.8,1217-1790
Fervacques Abbey,Épagne-Épagnette Abbey,Cistercian,110.8,1178-1790
Fervacques Abbey,Gomerfontaine Abbey,Cistercian,131.9,1207-1790
Fervacques Abbey,"Bival (Nesle-Hodeng, France)",Cistercian,137.8,1140-1790
Denain,Hasnon,Benedictine,10.3,764-900
Denain,Hamage-les-Marchiennes,Benedictine,9.7,764-800
Denain,Ghistelles/Gistel,Benedictine,96.8,None
Denain,Marchiennes,Benedictine,11.9,764-900
Denain,Stocquoy,Benedictine,20.5,None
Denain,Odeghem,Benedictine,98.6,None
Denain,Rouez,Benedictine,75.8,None
Denain,Gerigny Priory,Benedictine,44.7,None
Denain,Avesnes-les-Bapaume,Benedictine,46.6,None
Denain,Abbaye des Dames d'Étrun,Benedictine,49.3,None
Denain,Amiens,Benedictine,92.1,764-900
Denain,Bourbourg,Benedictine,108.8,None
Denain,Auchy,Benedictine,92.0,764-880
Denain,Beaumont-les-Nonnains,Benedictine,149.3,None
Denain,Guînes Abbey,Benedictine,123.3,None
Notre-Dame de Jerusalem,Antwerp (Soeurs Blanches),Augustinian,93.8,1480-1796
Notre-Dame de Jerusalem,Antwerp,Augustinian,93.8,1480-1796
Notre-Dame de Jerusalem,Couvent des Falcontines (Mariëndal),Augustinian,93.8,1480-1796
Notre-Dame de Jerusalem,Notre-Dame de la Presentation,Augustinian,72.3,1493-1796
Hasnon,Hamage-les-Marchiennes,Benedictine,5.7,690-800
Hasnon,Ghistelles/Gistel,Benedictine,86.9,None
Hasnon,Marchiennes,Benedictine,7.5,690-900
Hasnon,Stocquoy,Benedictine,29.3,None
Hasnon,Odeghem,Benedictine,88.3,None
Hasnon,Rouez,Benedictine,85.8,None
Hasnon,Gerigny Priory,Benedictine,51.8,None
Hasnon,Avesnes-les-Bapaume,Benedictine,52.4,None
Hasnon,Abbaye des Dames d'Étrun,Benedictine,50.1,None
Hasnon,Amiens,Benedictine,97.4,690-900
Hasnon,Bourbourg,Benedictine,102.1,None
Hasnon,Auchy,Benedictine,91.1,700-880
Hasnon,Guînes Abbey,Benedictine,118.0,None
Hamage-les-Marchiennes,Ghistelles/Gistel,Benedictine,87.6,None
Hamage-les-Marchiennes,Marchiennes,Benedictine,2.5,649-800
Hamage-les-Marchiennes,Stocquoy,Benedictine,25.5,None
Hamage-les-Marchiennes,Odeghem,Benedictine,90.2,None
Hamage-les-Marchiennes,Rouez,Benedictine,82.8,None
Hamage-les-Marchiennes,Gerigny Priory,Benedictine,46.7,None
Hamage-les-Marchiennes,Avesnes-les-Bapaume,Benedictine,47.0,None
Hamage-les-Marchiennes,Abbaye des Dames d'Étrun,Benedictine,44.5,None
Hamage-les-Marchiennes,Amiens,Benedictine,91.8,649-800
Hamage-les-Marchiennes,Bourbourg,Benedictine,99.5,None
Hamage-les-Marchiennes,Auchy,Benedictine,85.9,700-800
Hamage-les-Marchiennes,Guînes Abbey,Benedictine,114.5,None
Mont-Notre-Dame-les-Provins,Cour-Notre-Dame-les-Gouvernay,Cistercian,31.2,1236-1790
Mont-Notre-Dame-les-Provins,"Beaupré (Beaumont-en-Bière, France)",Cistercian,126.1,1236-1790
Mont-Notre-Dame-les-Provins,la Joie-Ste Clare (Berneuil-sur-Aisne),Cistercian,97.6,1240-1790
Mont-Notre-Dame-les-Provins,Abbaye-aux-Bois,Cistercian,129.1,1236-1790
Mont-Notre-Dame-les-Provins,Pont-aux-Dames,Cistercian,48.6,1236-1790
Mont-Notre-Dame-les-Provins,"Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",Cistercian,81.7,1236-1790
Mont-Notre-Dame-les-Provins,la Joie Abbey (St-Pierre-les-Nemours),Cistercian,56.2,1236-1790
Mont-Notre-Dame-les-Provins,Notre Dame du Lys,Cistercian,47.2,1244-1790
Mont-Notre-Dame-les-Provins,"Le Lys (Dammarie-lès-Lys, Seine-et-Marne)",Cistercian,49.2,1244-1790
Mont-Notre-Dame-les-Provins,Boulancourt,Cistercian,71.9,1236-1790
Mont-Notre-Dame-les-Provins,"Clairets, les",Cistercian,77.0,1236-1790
Mont-Notre-Dame-les-Provins,Paris (S. Antoine-des-Champs),Cistercian,77.0,1236-1790
Mont-Notre-Dame-les-Provins,Villiers-aux-Nonnains,Cistercian,72.1,1236-1790
Mont-Notre-Dame-les-Provins,Maubisson,Cistercian,102.5,1241-1790
Mont-Notre-Dame-les-Provins,Beauvais,Cistercian,131.5,1236-1790
Mont-Notre-Dame-les-Provins,Gomerfontaine Abbey,Cistercian,134.5,1236-1790
Mont-Notre-Dame-les-Provins,Abbaye de Voisins,Cistercian,138.5,1236-1790
Mont-Notre-Dame-les-Provins,"Le Trésor (Bus-Saint-Rémy, Somme)",Cistercian,139.0,1236-1790
Mont-Notre-Dame-les-Provins,Chartres,Cistercian,134.0,1236-1790
Ghistelles/Gistel,Marchiennes,Benedictine,86.1,None
Ghistelles/Gistel,Stocquoy,Benedictine,110.6,1129-1299
Ghistelles/Gistel,Odeghem,Benedictine,18.8,1110-1796
Ghistelles/Gistel,Gerigny Priory,Benedictine,122.0,1122-1790
