source,target,order,distance_km,shared_period
St. Pisentius Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,111.1,550-2025
St. Pisentius Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,111.1,550-2025
St. Pisentius Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,111.1,550-2025
St. Pisentius Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,109.7,550-2025
St. Moses the Black Coptic Orthodox Monastery,St. Pachomius Coptic Orthodox Monastery,Coptic Orthodox ,0.0,400-1000
St. Moses the Black Coptic Orthodox Monastery,St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,0.0,400-1000
St. Moses the Black Coptic Orthodox Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,0.0,400-1000
St. Moses the Black Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,0.0,704-1000
St. Moses the Black Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,45.7,400-1000
St. Moses the Black Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,55.5,400-1000
St. Moses the Black Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,131.5,470-1000
St. Moses the Black Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,131.5,400-1000
St. Moses the Black Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,131.5,450-1000
